ano_mes,ticker,preco_fechamento,retorno_mensal_pct,selic_media,ipca_variacao
2021-08,ABEV3.SA,13.063989639282228,,5.25,0.87
2021-09,ABEV3.SA,11.688833236694336,-10.526312715779584,5.516666666666667,1.16
2021-10,ABEV3.SA,12.979952812194824,11.045752380548324,6.443548387096774,1.25
2021-11,ABEV3.SA,12.269454002380373,-5.4738165854264835,7.75,0.95
2021-12,ABEV3.SA,12.240263938903809,-0.23790841443230848,8.862903225806452,0.73
2022-01,ABEV3.SA,11.883057594299316,-2.918289559665188,9.25,0.54
2022-02,ABEV3.SA,12.065627098083496,1.5363849104944594,10.642857142857142,1.01
2022-03,ABEV3.SA,12.22438621520996,1.3157966497379991,11.233870967741936,1.62
2022-04,ABEV3.SA,11.525851249694824,-5.714274346518899,11.75,1.06
2022-05,ABEV3.SA,11.263898849487305,-2.2727379916034907,12.620967741935484,0.47
2022-06,ABEV3.SA,10.63680362701416,-5.567301614233577,13.0,0.67
2022-07,ABEV3.SA,11.85130500793457,11.417916730510624,13.25,-0.68
2022-08,ABEV3.SA,12.121193885803224,2.2772924811905515,13.701612903225806,-0.36
2022-09,ABEV3.SA,12.33551788330078,1.7681756394358095,13.75,-0.29
2022-10,ABEV3.SA,12.700661659240724,2.960100900459639,13.75,0.59
2022-11,ABEV3.SA,12.637158393859863,-0.4999996621015246,13.75,0.41
2022-12,ABEV3.SA,12.133145332336426,-3.9883417285354827,13.75,0.62
2023-01,ABEV3.SA,11.414515495300291,-5.922865154519263,13.75,0.53
2023-02,ABEV3.SA,11.188898086547852,-1.9765833148619683,13.75,0.84
2023-03,ABEV3.SA,11.974376678466797,7.020160393303687,13.75,0.71
2023-04,ABEV3.SA,11.83232307434082,-1.1863131413046957,13.75,0.61
2023-05,ABEV3.SA,12.041227340698242,1.7655388975174713,13.75,0.23
2023-06,ABEV3.SA,12.876842498779297,6.939617818332788,13.75,-0.08
2023-07,ABEV3.SA,12.417254447937012,-3.569105166005204,13.75,0.12
2023-08,ABEV3.SA,11.564927101135254,-6.864056385212935,13.28225806451613,0.23
2023-09,ABEV3.SA,10.954926490783691,-5.274573760968049,13.083333333333334,0.26
2023-10,ABEV3.SA,10.74602222442627,-1.9069435703943038,12.75,0.24
2023-11,ABEV3.SA,11.439581871032717,6.4541058274563134,12.266666666666667,0.28
2023-12,ABEV3.SA,12.072699546813965,5.534447700264522,11.959677419354838,0.56
2024-01,ABEV3.SA,11.50115966796875,-4.734151435053702,11.75,0.42
2024-02,ABEV3.SA,11.06151294708252,-3.8226294876217315,11.25,0.83
2024-03,ABEV3.SA,10.982377052307127,-0.7154165542631707,11.07258064516129,0.16
2024-04,ABEV3.SA,10.683415412902832,-2.7221942752501893,10.75,0.38
2024-05,ABEV3.SA,10.164634704589844,-4.855944361074216,10.564516129032258,0.46
2024-06,ABEV3.SA,10.032739639282228,-1.2975878537775487,10.5,0.21
2024-07,ABEV3.SA,10.18221950531006,1.4899207136060522,10.5,0.38
2024-08,ABEV3.SA,11.30771541595459,11.05354201073332,10.5,-0.02
2024-09,ABEV3.SA,11.50115966796875,1.7107279843744605,10.6,0.44
2024-10,ABEV3.SA,11.114270210266112,-3.363916934221367,10.75,0.56
2024-11,ABEV3.SA,11.193406105041504,0.7120206120442951,11.15,0.39
2024-12,ABEV3.SA,10.891875267028809,-2.693825589664667,11.89516129032258,0.52
2025-01,ABEV3.SA,10.29810905456543,-5.451459899295674,12.314516129032258,0.16
2025-02,ABEV3.SA,11.337198257446287,10.09009709816775,13.25,1.31
2025-03,ABEV3.SA,12.643001556396484,11.517865960335861,13.637096774193548,0.56
2025-04,ABEV3.SA,13.645075798034668,7.925920416668797,14.25,0.43
2025-05,ABEV3.SA,13.257115364074709,-2.8432266680104346,14.637096774193548,0.26
2025-06,ABEV3.SA,12.586228370666504,-5.060580488167377,14.85,0.24
2025-07,ABEV3.SA,11.773603439331056,-6.456461041413752,15.0,0.26
2025-08,ABEV3.SA,11.669663429260254,-0.8828224137699348,15.0,-0.11
2025-09,ABEV3.SA,11.423986434936523,-2.105262039586553,15.0,0.48
2025-10,ABEV3.SA,12.009832382202148,5.128209409230444,15.0,0.09
2025-11,ABEV3.SA,13.096480369567873,9.047986289767639,15.0,0.18
2025-12,ABEV3.SA,13.821514129638672,5.536096261065304,15.0,0.33
2026-01,ABEV3.SA,14.808765411376951,7.14285911426471,15.0,0.33
2026-02,ABEV3.SA,16.224822998046875,9.562293326505312,15.0,0.7
2026-03,ABEV3.SA,15.20765495300293,-6.269208885461442,14.89516129032258,0.88
2026-04,ABEV3.SA,14.469709396362305,-4.852461204052427,14.741666666666667,0.67
2026-05,ABEV3.SA,16.274682998657227,12.474152402457328,14.5,0.58
2026-06,ABEV3.SA,16.290000915527344,0.09412113815907563,14.391666666666667,0.16
2026-07,ABEV3.SA,15.989999771118164,-1.8416275478733923,14.25,0.07
2026-08,ABEV3.SA,15.239999771118164,-4.690431586838939,14.046296296296296,
2021-08,CPFE3.SA,20.717851638793945,,5.25,0.87
